Time;Label;A1;A2;A3;A4;A5;A6;Cur1;Cur2;Cur3;Cur4;Cur5;Cur6;Trq1;Trq2;Trq3;Trq4;Trq5;Trq6
759517;0;-53.154366;-56.988426;73.380310;0.646371;72.313927;-148.497726;18.163679;20.723339;17.118450;-4.639625;-15.208713;5.149837;-571.625000;-652.250000;380.250000;24.916666;-80.901360;-9.990000
759541;0;-53.752956;-57.311745;75.301483;0.666819;70.722740;-149.120087;18.928524;17.855640;19.548958;-5.075925;-16.119476;6.129737;-595.750000;-562.000000;434.250000;27.216667;-85.763039;-11.904750
759565;0;-54.389233;-57.591766;77.236107;0.689269;69.075394;-149.782364;18.070219;17.138479;17.671579;-5.695812;-17.182825;6.532662;-568.750000;-539.375000;392.625000;30.590000;-91.460320;-12.681750
759589;0;-55.048855;-57.819115;79.136497;0.713323;67.410034;-150.469742;16.742704;15.694615;15.521729;-5.214212;-17.609587;7.278913;-526.875000;-493.875000;344.875000;27.983334;-93.739227;-14.152500
759613;0;-55.715870;-57.988285;80.957687;0.738472;65.765961;-151.165726;16.716000;14.376640;14.356878;-4.196163;-16.536713;6.265637;-526.125000;-452.500000;319.000000;22.540001;-87.965988;-12.182250
759637;0;-56.373619;-58.097836;82.659698;0.764130;64.181511;-151.852966;14.186854;13.405795;12.159343;-4.677763;-15.451900;5.784025;-446.500000;-421.875000;270.125000;25.070000;-82.192741;-11.238750
759661;0;-57.007298;-58.150879;84.214096;0.789714;62.688030;-152.516006;12.667654;12.939450;9.803771;-4.951950;-13.401500;5.757800;-398.625000;-407.250000;217.750000;26.603333;-71.329933;-11.183250
759685;0;-57.611336;-58.155346;85.621490;0.814936;61.292767;-153.148956;10.750770;8.688925;9.756086;-5.333413;-10.621537;5.176063;-338.375000;-273.375000;216.750000;28.596666;-56.517006;-10.045500
759709;0;-58.184219;-58.120010;86.892960;0.839644;59.993378;-153.750137;11.903760;8.099555;7.818765;-5.168912;-11.737338;6.027212;-374.625000;-254.875000;173.625000;27.753334;-62.442177;-11.710500
759733;0;-58.724495;-58.052925;88.038307;0.863677;58.788048;-154.317917;12.116430;8.221624;8.576250;-5.145062;-11.858937;6.022450;-381.250000;-258.750000;190.500000;27.600000;-63.125851;-11.710500
759757;0;-59.230797;-57.961483;89.066376;0.886870;57.675316;-154.850739;10.496135;7.826805;5.520407;-5.331038;-11.799325;5.908000;-330.250000;-246.250000;122.625000;28.596666;-62.746033;-11.488500
759781;0;-59.701862;-57.852474;89.985077;0.909054;56.653996;-155.347137;9.084700;5.810735;7.113043;-5.011550;-10.952938;5.009162;-285.875000;-182.875000;158.000000;26.910000;-58.264172;-9.740250
759805;0;-60.136513;-57.732094;90.801582;0.930060;55.723099;-155.805771;8.748050;5.606650;5.040843;-4.832737;-10.879038;5.335800;-275.250000;-176.375000;112.000000;25.913334;-57.884354;-10.350750
759829;0;-60.533669;-57.605980;91.522285;0.949719;54.881809;-156.225357;8.810995;6.090160;4.108972;-4.551400;-9.043212;4.801750;-277.250000;-191.625000;91.250000;24.379999;-48.085033;-9.324000
759853;0;-60.892357;-57.479202;92.152939;0.967869;54.129429;-156.604721;8.209225;7.225990;3.667557;-4.513263;-8.141988;4.208087;-258.375000;-227.375000;81.375000;24.226667;-43.299320;-8.158500
759877;0;-61.211693;-57.356289;92.698639;0.984352;53.465363;-156.942841;6.447790;7.817265;2.638950;-4.739750;-7.724750;4.441737;-202.875000;-246.000000;58.625000;25.453333;-41.096371;-8.630250
759901;0;-61.490910;-57.241234;93.163841;0.999020;52.889107;-157.238754;5.434035;7.293700;2.235679;-4.539487;-7.016650;4.549025;-171.000000;-229.500000;49.625000;24.379999;-37.298187;-8.824500
759925;0;-61.729332;-57.137486;93.552422;1.011738;52.400219;-157.491638;5.316730;7.973670;0.546314;-4.341600;-6.163113;3.232950;-167.250000;-250.875000;12.125000;23.306667;-32.740364;-6.271500
759949;0;-61.926384;-57.047970;93.867661;1.022387;51.998337;-157.700806;5.363460;9.696959;0.446864;-4.193775;-4.756450;3.979200;-168.750000;-305.125000;9.875000;22.463333;-25.295918;-7.714500
759973;0;-62.081596;-56.975094;94.112228;1.030864;51.683155;-157.865646;3.734585;10.430335;-0.889636;-4.341600;-4.842275;3.623950;-117.500000;-328.250000;-19.750000;23.306667;-25.751701;-7.020750
759997;0;-62.194668;-56.920700;94.288345;1.037089;51.454304;-157.985794;2.430915;9.858130;-1.415522;-4.584787;-3.674025;3.583425;-76.500000;-310.250000;-31.375000;24.610001;-19.522676;-6.965250
760021;0;-62.267635;-56.884991;94.401047;1.041130;51.306969;-158.063354;1.811025;9.816165;-1.791543;-4.580012;-3.318775;3.082750;-57.000000;-308.875000;-39.750000;24.533333;-17.623583;-5.994000
760045;0;-62.308365;-56.864811;94.463554;1.043395;51.224876;-158.106659;1.885410;10.846135;-2.768378;-4.646775;-1.909725;2.756112;-59.250000;-341.375000;-61.500000;24.916666;-10.103174;-5.355750
760069;0;-62.326294;-56.855850;94.490952;1.044395;51.188786;-158.125732;2.364155;11.380195;-2.955021;-4.553787;-1.845350;2.856250;-74.375000;-358.125000;-65.625000;24.456667;-9.799319;-5.550000
760093;0;-62.330853;-56.853561;94.497894;1.044650;51.179619;-158.130569;2.201080;11.114120;-3.807878;-4.546638;-1.881113;2.799025;-69.250000;-349.750000;-84.500000;24.379999;-9.951247;-5.439000
760117;0;-62.331070;-56.853451;94.498230;1.044662;51.179180;-158.130798;2.440450;11.544226;-4.411421;-4.456038;-1.935950;2.675050;-76.750000;-363.250000;-98.000000;23.920000;-10.255102;-5.189250
760141;0;-62.331070;-56.853451;94.498230;1.044662;51.179180;-158.130798;2.028465;11.424060;-4.381450;-4.377363;-1.578325;2.515312;-63.750000;-359.500000;-97.250000;23.459999;-8.356009;-4.884000
760165;0;-62.331066;-56.853432;94.498199;1.044662;51.179192;-158.130798;2.076145;11.341090;-4.483629;-4.355900;-1.313675;2.243512;-65.250000;-356.875000;-99.625000;23.383333;-6.988662;-4.356750
760189;0;-62.330505;-56.850708;94.493484;1.044618;51.181171;-158.130188;0.975605;8.707045;-6.580350;-4.329675;-0.901213;2.150525;-30.625000;-274.000000;-146.125000;23.230000;-4.785714;-4.162500
760213;0;-62.326599;-56.831749;94.460670;1.044313;51.194965;-158.125885;-1.500125;6.178855;-7.275172;-4.155625;1.232612;1.909725;47.125000;-194.375000;-161.625000;22.309999;6.532880;-3.690750
760237;0;-62.315605;-56.778210;94.367973;1.043454;51.233959;-158.113800;-3.929135;3.896710;-9.572164;-3.740788;2.503387;1.349437;123.625000;-122.625000;-212.625000;20.086666;13.293651;-2.608500
760261;0;-62.293800;-56.671608;94.183250;1.041749;51.311756;-158.089828;-6.345745;2.415655;-12.077600;-2.963537;3.938663;0.174038;199.625000;-76.000000;-268.250000;15.870000;20.965986;-0.333000
760285;0;-62.257648;-56.493843;93.874886;1.038920;51.441807;-158.050064;-6.563185;0.091550;-14.311922;-1.933563;3.976813;-0.717637;206.500000;-2.875000;-318.000000;10.350000;21.117914;1.387500
760309;0;-62.205170;-56.233784;93.423126;1.034812;51.632721;-157.992340;-6.436345;-2.083775;-16.514914;-0.269413;4.923337;-2.074238;202.500000;65.500000;-366.875000;1.380000;26.207483;4.023750
760333;0;-62.136482;-55.889759;92.824348;1.029428;51.886444;-157.916733;-7.366179;-4.276275;-17.577578;1.938337;5.536075;-2.794263;231.750000;134.500000;-390.500000;-10.350000;29.397959;5.411250
760357;0;-62.052036;-55.461010;92.076286;1.022802;52.204491;-157.823730;-8.263585;-4.488945;-19.239693;3.302088;6.887913;-3.209113;260.000000;141.250000;-427.500000;-17.709999;36.614513;6.216000
760381;0;-61.952370;-54.946495;91.175964;1.014972;52.588806;-157.713882;-8.006095;-5.009650;-21.039413;4.484650;7.538787;-3.688325;251.875000;157.625000;-467.375000;-24.073334;40.108845;7.159500
760405;0;-61.838116;-54.344852;90.119637;1.005983;53.041786;-157.587845;-8.126255;-7.773395;-22.890907;5.064000;8.075226;-3.807538;255.750000;244.625000;-508.625000;-27.139999;42.919502;7.381500
760429;0;-61.709972;-53.654381;88.902748;0.995887;53.566296;-157.446335;-8.198735;-8.481975;-23.941307;5.238050;9.264937;-3.719325;258.000000;266.875000;-531.875000;-28.136667;49.300453;7.215000
760453;0;-61.568707;-52.872929;87.519745;0.984742;54.165749;-157.290146;-8.214950;-9.520530;-25.578907;5.426400;9.455675;-4.162787;258.500000;299.625000;-568.250000;-29.133333;50.287983;8.075250
760477;0;-61.415146;-51.997818;85.963943;0.972612;54.844166;-157.120117;-7.975575;-9.196280;-27.764177;5.149837;8.943075;-4.372587;251.000000;289.375000;-616.875000;-27.600000;47.553288;8.491500
760501;0;-61.250160;-51.025711;84.227280;0.959567;55.606293;-156.937164;-8.344650;-12.177465;-28.067993;4.649150;10.001650;-5.195138;262.625000;383.250000;-623.625000;-24.916666;53.174603;10.101000
760525;0;-61.074654;-49.952457;82.300003;0.945682;56.457737;-156.742172;-8.656500;-13.460155;-30.943998;5.469313;11.065001;-3.702638;272.375000;423.625000;-687.500000;-29.363333;58.871883;7.187250
760549;0;-60.889557;-48.772934;80.170395;0.931037;57.405109;-156.536102;-8.677481;-13.349530;-33.016197;4.746912;11.868475;-4.296300;273.000000;420.125000;-733.500000;-25.453333;63.125851;8.352750
760573;0;-60.696606;-47.486755;77.835251;0.915776;58.451267;-156.320801;-8.614540;-14.460561;-33.415379;5.710113;12.130725;-5.078312;271.125000;455.125000;-742.375000;-30.666666;64.569160;9.851250
760597;0;-60.500710;-46.117947;75.336426;0.900299;59.578434;-156.101624;-8.467669;-12.506480;-33.187862;5.729187;13.773437;-4.620550;266.500000;393.625000;-737.375000;-30.743334;73.304985;8.963250
760621;0;-60.307884;-44.703590;72.740738;0.885091;60.756973;-155.885284;-7.723805;-10.468480;-30.414036;5.331038;13.027188;-5.221363;243.000000;329.375000;-675.750000;-28.596666;69.278908;10.128750
760645;0;-60.123562;-43.283001;70.120209;0.870594;61.954258;-155.677887;-6.772040;-6.420135;-29.204229;5.271425;13.716212;-3.962512;213.125000;202.000000;-648.875000;-28.290001;73.001137;7.686750
760669;0;-59.949516;-41.898548;67.553658;0.857139;63.133850;-155.481812;-7.059095;-3.712650;-26.822763;5.040163;13.597000;-4.570475;222.125000;116.750000;-595.875000;-27.063334;72.317459;8.880000
760693;0;-59.778057;-40.582661;65.102867;0.844708;64.266312;-155.289719;-8.358954;-1.085280;-26.153835;4.560937;12.438288;-5.092613;263.000000;34.125000;-581.125000;-24.456667;66.164398;9.879000
760717;0;-59.597027;-39.347801;62.793358;0.833011;65.338425;-155.089493;-9.799955;-0.758170;-23.826872;3.883837;11.422626;-4.131788;308.375000;23.750000;-529.375000;-20.853333;60.770973;8.019750
760741;0;-59.394283;-38.204445;60.647018;0.821742;66.338600;-154.868942;-11.198996;1.104350;-23.053030;4.565712;9.441375;-4.134175;352.375000;-34.750000;-512.125000;-24.456667;50.212017;8.019750
